127.0.0.1 - - [24/May/2018:16:30:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/index.html HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/css/font-awesome.min.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/css/owl.carousel.css HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/css/style.css HTTP/1.1" 200 9744
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/js/owl.carousel.js HTTP/1.1" 200 48781
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/js/skycons.js HTTP/1.1" 200 16846
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/images/banner.jpg HTTP/1.1" 200 58553
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/images/search.png HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:07 +0800] "GET /preWeather/html/images/1.jpg HTTP/1.1" 200 69840
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:24 +0800] "GET /preWeather/html/index.html HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/css/style.css HTTP/1.1" 200 9744
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/css/font-awesome.min.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/js/owl.carousel.js HTTP/1.1" 200 48781
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/css/owl.carousel.css HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/js/skycons.js HTTP/1.1" 200 16846
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/images/banner.jpg HTTP/1.1" 200 58553
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/images/search.png HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/images/1.jpg HTTP/1.1" 200 69840
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:26 +0800] "GET /preWeather/html/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [24/May/2018:16:31:28 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "POST /preWeather/html/index.html HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:05 +0800] "GET /preWeather/html/js/skycons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:06 +0800] "GET /preWeather/html/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:06 +0800] "GET /preWeather/html/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:06 +0800] "GET /preWeather/html/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:06 +0800] "GET /preWeather/html/images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2018:16:32:10 +0800] "GET /preWeather/html/index.html HTTP/1.1" 200 6539
